
步骤0	当前分析栈：#}A{)(mainvoid		余留符号串：voidmain(){inti,j,sum,n;i=0;scanf("%d",&n);if(n<1){sum=0;}else{sum=1;}while(i<n){i=i+1;sum=sum*i;}printf("%d",sum);}#		语义栈：#
步骤1	当前分析栈：#}A{)(main		余留符号串：main(){inti,j,sum,n;i=0;scanf("%d",&n);if(n<1){sum=0;}else{sum=1;}while(i<n){i=i+1;sum=sum*i;}printf("%d",sum);}#		语义栈：#
步骤2	当前分析栈：#}A{)(		余留符号串：(){inti,j,sum,n;i=0;scanf("%d",&n);if(n<1){sum=0;}else{sum=1;}while(i<n){i=i+1;sum=sum*i;}printf("%d",sum);}#		语义栈：#
步骤3	当前分析栈：#}A{)		余留符号串：){inti,j,sum,n;i=0;scanf("%d",&n);if(n<1){sum=0;}else{sum=1;}while(i<n){i=i+1;sum=sum*i;}printf("%d",sum);}#		语义栈：#
步骤4	当前分析栈：#}A{		余留符号串：{inti,j,sum,n;i=0;scanf("%d",&n);if(n<1){sum=0;}else{sum=1;}while(i<n){i=i+1;sum=sum*i;}printf("%d",sum);}#		语义栈：#
步骤5	当前分析栈：#}A		余留符号串：inti,j,sum,n;i=0;scanf("%d",&n);if(n<1){sum=0;}else{sum=1;}while(i<n){i=i+1;sum=sum*i;}printf("%d",sum);}#		语义栈：#
步骤6	当前分析栈：#}AC		余留符号串：inti,j,sum,n;i=0;scanf("%d",&n);if(n<1){sum=0;}else{sum=1;}while(i<n){i=i+1;sum=sum*i;}printf("%d",sum);}#		语义栈：#
步骤7	当前分析栈：#}AX		余留符号串：inti,j,sum,n;i=0;scanf("%d",&n);if(n<1){sum=0;}else{sum=1;}while(i<n){i=i+1;sum=sum*i;}printf("%d",sum);}#		语义栈：#
步骤8	当前分析栈：#}A;ZY		余留符号串：inti,j,sum,n;i=0;scanf("%d",&n);if(n<1){sum=0;}else{sum=1;}while(i<n){i=i+1;sum=sum*i;}printf("%d",sum);}#		语义栈：#
步骤9	当前分析栈：#}A;Zint		余留符号串：inti,j,sum,n;i=0;scanf("%d",&n);if(n<1){sum=0;}else{sum=1;}while(i<n){i=i+1;sum=sum*i;}printf("%d",sum);}#		语义栈：#
步骤10	当前分析栈：#}A;Z		余留符号串：i,j,sum,n;i=0;scanf("%d",&n);if(n<1){sum=0;}else{sum=1;}while(i<n){i=i+1;sum=sum*i;}printf("%d",sum);}#		语义栈：#
步骤11	当前分析栈：#}A;Z'U		余留符号串：i,j,sum,n;i=0;scanf("%d",&n);if(n<1){sum=0;}else{sum=1;}while(i<n){i=i+1;sum=sum*i;}printf("%d",sum);}#		语义栈：#
步骤12	当前分析栈：#}A;Z'U'id@ASS_U		余留符号串：i,j,sum,n;i=0;scanf("%d",&n);if(n<1){sum=0;}else{sum=1;}while(i<n){i=i+1;sum=sum*i;}printf("%d",sum);}#		语义栈：#
